tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	TP_annotations	FP_annotations	FN_annotations
FastME	topic	2	0	0	0	1.0	1.0	1.0	['distanced-based phylogenetics', 'phylogenetics']	[]	[]
FastME	operation	3	0	1	0	1.0	0.75	0.86	['distance matrix computation', 'topological optimization', 'tree inference']	[]	['minimum evolution (me)']
FastME	input data	3	0	0	0	1.0	1.0	1.0	['distance matrix', 'multiple sequences alignment msa', 'substitution model']	[]	[]
FastME	output data	2	0	0	0	1.0	1.0	1.0	['distance matrix', 'phylogenetic trees with support values']	[]	[]
FastME	input format	2	0	0	0	1.0	1.0	1.0	['newick', 'phylip']	[]	[]
FastME	output format	2	0	0	0	1.0	1.0	1.0	['newick', 'phylip']	[]	[]
PhyML	topic	3	0	0	0	1.0	1.0	1.0	['likelihood-based phylogenetics', 'molecular evolution', 'phylogenetics']	[]	[]
PhyML	operation	1	1	1	0	0.5	0.5	0.5	['tree inference']	['maximum-likelihood tree reconstruction']	['maximum-likelihood tree inference']
PhyML	input data	2	0	0	0	1.0	1.0	1.0	['multiple sequence alignment', 'sequence evolution model']	[]	[]
PhyML	output data	1	0	0	0	1.0	1.0	1.0	['phylogeny trees with support values']	[]	[]
PhyML	input format	1	0	0	0	1.0	1.0	1.0	['phylip']	[]	[]
PhyML	output format	1	0	0	0	1.0	1.0	1.0	['newick']	[]	[]
MAFFT	topic	6	0	0	0	1.0	1.0	1.0	['comparative genomics', 'molecular evolution', 'multiple-sequence alignment (msa)', 'phylogenetics', 'sequence analysis', 'sequence annotation']	[]	[]
MAFFT	operation	2	0	1	0	1.0	0.67	0.8	['global multiple sequence alignment', 'progressive alignment']	[]	['fft']
MAFFT	input data	1	0	0	0	1.0	1.0	1.0	['multiple-sequence file']	[]	[]
MAFFT	output data	1	0	0	0	1.0	1.0	1.0	['multiple-sequence alignment file']	[]	[]
MAFFT	input format	1	0	0	0	1.0	1.0	1.0	['fasta']	[]	[]
MAFFT	output format	2	0	1	0	1.0	0.67	0.8	['clustal', 'fasta']	[]	['.tree']
